lemma[key],pos[key],negation,score,positive,negative,sentiment
absolutely,r,0,0.14,0,0,1
accordingly,r,0,0.11,0,0,0
actively,r,0,0.11,0,0,0
actually,r,0,0.11,0,0,0
additionally,r,0,0.13,0,0,0
admittedly,r,0,0.07,0,0,1
almost,r,0,0.09,0,0,0
always,r,0,0.11,0,0,0
apparently,r,0,0.09,0,0,1
approximately,r,0,0.09,0,0,1
astronomically,r,0,0.14,0,0,1
authoritatively,r,0,0.13,0,0,1
autonomously,r,0,0.13,0,0,1
awfully,r,0,0.11,0,1,0
barely,r,1,0.1,0,0,0
basically,r,0,0.09,0,0,0
broadly,r,0,0.13,0,0,0
busily,r,0,0.11,0,0,1
cerebrally,r,0,0.13,0,0,1
certainly,r,0,0.14,0,0,1
chiefly,r,0,0.11,0,0,0
clearly,r,0,0.11,0,0,0
comfortably,r,0,0.13,1,0,0
commonly,r,0,0.11,0,0,0
comparatively,r,0,0.06,0,0,0
completely,r,0,0.14,0,0,1
consequently,r,0,0.11,0,0,0
considerably,r,0,0.14,0,0,1
consistently,r,0,0.13,0,0,1
conspicuously,r,0,0.14,0,0,1
constantly,r,0,0.13,0,0,1
continually,r,0,0.13,0,0,0
continuously,r,0,0.11,0,0,0
customarily,r,0,0.11,0,0,1
decidedly,r,0,0.14,0,0,1
deeply,r,0,0.14,0,0,1
definitely,r,0,0.14,0,0,1
delicately,r,0,0.09,0,0,1
demandingly,r,0,0.13,0,0,1
determinedly,r,0,0.13,0,0,1
directly,r,0,0.14,0,0,0
dominatingly,r,0,0.13,0,0,1
doubly,r,0,0.13,0,0,0
doubtlessly,r,0,0.11,0,0,1
duly,r,0,0.11,0,0,0
effectively,r,0,0.11,0,0,0
enormously,r,0,0.14,0,0,1
entirely,r,0,0.11,0,0,0
especially,r,0,0.11,0,0,0
essentially,r,0,0.11,0,0,1
evenly,r,0,0.13,0,0,0
eventually,r,0,0.14,0,0,0
everlastingly,r,0,0.11,0,0,1
evidently,r,0,0.11,0,0,1
exactingly,r,0,0.13,0,0,1
exactly,r,0,0.11,0,0,1
exceedingly,r,0,0.14,0,0,1
exclusively,r,0,0.11,0,0,1
extraordinarily,r,0,0.14,0,0,1
