poslist[key],positive,negative,sentiment,ambiguous,entity,negation,acceptance,anger,anticipation,disgust,fear,guilt,interest,joy,sadness,shame,surprise
110/CD proof/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/CD minutes/NNS of/IN fame/NN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24/CD Sussex/NNP Drive/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800-pound/JJ gorilla/NN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT cat/NN may/MD look/VB at/IN a/DT king/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT closed/JJ mouth/NN gathers/NNS no/DT feet/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT cold/JJ day/NN in/IN Hell/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT cut/NN above/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT cut/NN below/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT day/NN late/RB and/CC a/DT dollar/NN short/RB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT different/JJ ballpark/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT dime/NN 's/POS worth/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT drop/NN in/IN the/DT bucket/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT few/JJ sandwiches/NNS short/JJ of/IN a/DT picnic/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT gentleman/NN and/CC a/DT scholar/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT good/JJ voice/NN to/TO beg/VB bacon/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT life/NN of/IN its/PRP$ own/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT little/JJ bird/NN told/VBD me/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT new/JJ broom/NN sweeps/NNS clean/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT notch/NN above/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
