interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
aah,0,0,0,0,1
aargh,0,1,0,0,1
aarrghh,0,1,0,0,1
achoo,0,0,0,0,1
ack,0,0,0,0,1
adieu,0,0,0,0,1
adios,0,0,0,0,1
ah,0,0,0,0,1
aha,0,0,0,0,1
ahchoo,0,0,0,0,1
ah-choo,0,0,0,0,1
ahem,0,0,0,0,1
ahh,0,0,0,0,1
ahoy,0,0,0,0,1
ahoy-hoy,0,0,0,0,1
ai,0,0,0,0,1
ai yah,1,0,0,0,1
a'ight,0,0,0,0,1
alack,0,0,0,0,1
alakazam,0,0,0,0,1
alas,0,0,0,0,1
all hail,0,0,0,0,1
alleluia,1,0,0,0,1
alley oop,0,0,0,0,1
allrighty,1,0,0,0,1
aloha,0,0,0,0,1
alreet,1,0,0,0,1
alrighty,1,0,0,0,1
amen,1,0,0,0,1
amidships,0,0,0,0,1
argh,0,1,0,0,1
a'right,1,0,0,0,1
arrah now,0,0,0,0,1
astaghfirullah,0,0,0,0,1
atchoo,0,0,0,0,1
atishoo,0,0,0,0,1
attaboy,1,0,0,0,1
attagirl,1,0,0,0,1
au revoir,0,0,0,0,1
avast,0,0,0,0,1
aw,0,0,0,0,1
aw shucks,0,1,0,0,1
aww,0,0,0,0,1
awww,0,0,0,0,1
ay,1,0,0,0,1
"ay, chihuahua",1,0,0,0,1
aye,1,0,0,0,1
aye man,1,0,0,0,1
ba da bing ba da boom,0,0,0,1,1
baccare,0,0,0,0,1
bada bing,0,0,0,1,1
bada bing bada boom,0,0,0,1,1
"bada bing, bada boom",0,0,0,1,1
bada boom,0,0,0,1,1
bada boom bada bing,0,0,0,1,1
bah,0,0,0,0,1
bam,0,0,0,0,1
banzai,0,0,0,0,1
baruch hashem,0,0,0,0,1
begad,0,0,0,0,1
begorra,0,0,0,0,1
begorrah,0,0,0,0,1
behold,0,0,0,0,1
bejeezus,0,0,0,1,1
bejesus,0,0,0,1,1
big whoop,0,0,0,0,1
big wow,1,0,0,0,1
bish bash bosh,0,0,0,0,1
blah,0,0,0,0,1
blah blah blah,0,1,0,0,1
bleah,0,0,0,0,1
blech,0,0,0,0,1
bleep,0,0,0,0,1
bleh,0,0,0,0,1
blimey,0,0,0,0,1
bollocks,0,1,0,0,1
bon voyage,1,0,0,0,1
