poslist[key],profane,profane-when-combined,unsafe,unsafe-when-combined,entity,negation
100%/CD hardcore/NN,0,0,1.5,0,0,0
100%/CD illegal/JJ,0,0,1.7,0,0,0
100%/CD softcore/NN,0,0,1.5,0,0,0
100%/JJ ban/VB,0,0,1.5,0,0,0
100%/JJ banned/JJ,0,0,1.5,0,0,0
aardvarking/NN,1.2,0,0,0,0,0
abso-fucking-lutely/RB,1.4,0,0,0,0,0
ac/NN movie/NN pass/NN,0,0,2,0,0,0
action/NN,0,0.2,0,0,0,0
adult/NN audience/NN,0,0,1.5,0,0,0
adult/NN broadcast/NN,0,0,1.2,0,0,0
adult/NN check/NN,0,0,1.4,0,0,0
adult/NN content/NN,0,0,1.2,0,0,0
adult/NN erotic/JJ,0,0,1.8,0,0,0
adult/NN film/NN star/NN,0,0,1.8,0,0,0
adult/NN flic/NN,0,0,1.8,0,0,0
adult/NN flix/NN,0,0,1.8,0,0,0
adult/NN friend/NN finder/NN,0,0,1.7,0,0,0
adult/NN interactive/NN,0,0,1.2,0,0,0
adult/NN link/NN,0,0,1.4,0,0,0
adult/NN mag/NN,0,0,1.4,0,0,0
adult/NN material/NN,0,0,1.7,0,0,0
adult/NN model/NN,0,0,1.5,0,0,0
adult/NN movie/NN,0,0,1.3,0,0,0
adult/NN newsgroup/NN,0,0,1.8,0,0,0
adult/NN only/RB,0,0,1.6,0,0,0
adult/NN only/RB site/NN,0,0,1.5,0,0,0
adult/NN orient/VB,0,0,1.3,0,0,0
adult/NN oriented/JJ,0,0,1.3,0,0,0
adult/NN paysite/NN,0,0,1.8,0,0,0
adult/NN playground/NN,0,0,1.8,0,0,0
adult/NN relate/VB,0,0,1.4,0,0,0
adult/NN show/NN,0,0,1.1,0,0,0
adult/NN site/NN,0,0,1.8,0,0,0
adult/NN strip/NN show/NN,0,0,1.8,0,0,0
adult/NN supersite/NN,0,0,1.5,0,0,0
adult/NN topless/JJ nude/NN,0,0,1.6,0,0,0
adult/NN upskirt/NN,0,0,1.4,0,0,0
adult/NN verification/NN system/NN,0,0,1.6,0,0,0
adult/NN videochat/NN,0,0,1.8,0,0,0
adult/NN web/NN site/NN,0,0,1.5,0,0,0
adult/NN webmaster/NN,0,0,1.8,0,0,0
adult/NN webring/NN,0,0,1.8,0,0,0
adult/NN website/NN,0,0,1.5,0,0,0
adult/NN xxx/NN,0,0,1.8,0,0,0
adult-film/NN star/NN,0,0,1.8,0,0,0
adultlink/NN,0,0,1.2,0,0,0
adultoptin/NN,0,0,1.8,0,0,0
adultos/NNS,0,0,1.4,0,0,0
adultpass/NN,0,0,1.8,0,0,0
adultrevenueservice/NN,0,0,1.7,0,0,0
adult-videochat/NN,0,0,1.8,0,0,0
adultweb/NN,0,0,1.8,0,0,0
age/NN verification/NN,0,0,0,0.5,0,0
airhead/NN,0,0.5,0,0,0,0
all/DT petite/JJ,0,0,0,0.5,0,0
als/NNS scan/NN,0,0,1.8,0,0,0
als-scan/JJ,0,0,1.8,0,0,0
