lemma[key],pos[key],positive,negative,sentiment,ambiguous,ambiguous-when-modified,positive-when-modified
abandon,v,0,1,0,0,0,0
abate,v,0,1,0,0,0,0
abdicate,v,0,1,0,0,0,0
abide,v,1,0,0,0,0,0
abject,a,0,1,0,0,0,0
abnormal,a,0,1,0,0,0,0
abolish,v,0,1,0,0,0,0
abominable,a,0,1,0,0,0,0
abound,v,1,0,0,0,0,0
abrasive,a,0,1,0,0,0,0
abscond,v,0,1,0,0,0,0
absent-minded,a,0,1,0,0,0,0
absentee,n,0,1,0,0,0,0
absolve,v,1,0,0,0,0,0
absorbent,a,1,0,0,0,0,0
absurdity,n,0,1,0,0,0,0
abuse,n,0,1,0,0,0,0
abuse,v,0,1,0,0,0,0
accede,v,1,0,0,0,0,0
accentuate,v,1,0,0,0,0,0
acceptable,a,1,0,0,0,0,0
accessible,a,1,0,0,0,0,0
acclaim,n,1,0,0,0,0,0
acclamation,n,1,0,0,0,0,0
accolade,n,1,0,0,0,0,0
accommodate,v,1,0,0,0,0,0
accommodation,n,1,0,0,0,0,0
accomplish,v,1,0,0,0,0,0
accost,v,0,1,0,0,0,0
accountable,a,1,0,0,0,0,0
accuracy,n,1,0,0,0,0,0
accurately,r,1,0,0,0,0,0
accurateness,n,1,0,0,0,0,0
accursed,a,0,1,0,0,0,0
accusation,n,0,1,0,0,0,0
accuse,v,0,1,0,0,0,0
achieve,v,1,0,0,0,0,0
acquaint,v,1,0,0,0,0,0
acute,a,0,0,1,0,0,0
adamance,n,0,0,0,0,0,0
adamant,a,0,0,1,0,0,0
adaptability,n,1,0,0,0,0,0
adaptable,a,1,0,0,0,0,0
adaptive,a,1,0,0,0,0,0
adeptness,n,1,0,0,0,0,0
adherent,a,1,0,0,0,0,0
adhesive,a,1,0,0,0,0,0
adjustable,a,1,0,0,0,0,0
adjusted,a,1,0,0,0,0,0
adjustment,n,1,0,0,0,0,0
admirable,a,1,0,0,0,0,0
admonish,v,0,1,0,0,0,0
adorable,a,1,0,0,0,0,0
adorn,v,1,0,0,0,0,0
